2,,назва,,ціна долар,ціна грн.,,,ціна для продажу,Опт.,ціна для продажу 2 (50%),ціна для продажу 3 (45%),ціна для продажу 4 (30%),,,,,,,,,,
,,200,,,42,"1,25",,"1,596",0,"0,5","0,45","0,3","0,2",,,,,,,,,
4,10002,E3D V5 J-head remote print head hotend 12V 40W for ANYCUBIC I3 Mega 3D Printer Parts,,5,210,"262,5","362,25","335,16",294,"301,644",315,"261,8","355,55625","106,4450625","1,209375",,,,,,,
5,10003,"3D-принтер Flying Bear, 1 комплект, 2 шт., черная шестерня и 1 шт., белая Шестерня для Ghost 6 Reborn 2 Aone 2, экструдер",,"9,5",399,"498,75","688,275","636,804","558,6","573,1236","598,5","501,5","22,3433584","-379,114411","481,7925","456,3","27,5","0,1833333333",,,,
27,10004,Шестірня для механізму подачі пластику для 3d принтера FlyingBear Ghost 6,,"1,4","58,8","73,5","101,43","93,8448","82,32","84,46032","88,2","99,0927","73,95","7,0155",,,,,,,,
4,10005,Flying Bear 3d Printer Ghost 6 1pcs/2pcs 24V 50w Updated Direct Extruder Hotend for Ghost6,,"8,15","342,3","427,875","590,4675","546,3108","479,22","491,67972","513,45","576,861075","579,5566875","173,5054519","413,32725","1,055921053",,,,,,
6,10006,Titan Extruder Parts 3D Printer ,,"4,4","184,8",231,"318,78","294,9408","258,72","265,44672","277,2","311,4342",345,"91,2","0,2643478261",,,,,,,
,10007,Хотенд Extruder Aluminum HotEnd V5 + silicon case cover 3D Printer,,"2,11","88,62","110,775","152,8695","141,43752","124,068","127,293768","132,93","149,346855","150,0447375","44,91981638",,,,,,8,"708,96","779,856"
10,10008,RAMPS E3D V6 3D Print J-head Hotend for 1.75mm Direct Filament MK3/MK3S Titan Extruder 0.4mm Nozzle 3D Printer Parts,,3,126,"157,5","217,35","201,096","176,4","180,9864",189,"212,3415","213,33375","63,8670375",,,,,,,,
9,10009,Flying Bear 3d Printer Ghost 6 Parts Direct Hotend,,11,462,"577,5","796,95","737,352","646,8","663,6168",693,"778,5855","782,22375","234,1791375","557,865","582,12","56,0868","0,09634920635",,,,
5,10010,KingRoon Upgraded Coarse Sand Blue Heatbed Sticker For 3D Printer Surface HeatBed 3D Printing Platform Sticker Heat Paper,,4,168,210,"289,8","268,128","235,2","241,3152",252,"283,122","284,445","85,15605",,,,,,,,
102,10011,"Латунні сопла MK8, 0,4 мм, головки екструдера для 3d принтера, сопла для фаламенту 1,75 мм",,"0,1916666667","8,05","10,0625","13,88625","12,8478","11,27","11,56302","12,075","13,5662625","13,62965625","4,080394063",,,,,,,,
7,10012,24V 40W Cartridge Heater Thermistor NTC 100K 3950 Wire 1M for Ender 3 Ender 3 Pro 3D Printer Accessories,,"4,5",189,"236,25","326,025","301,644","264,6","271,4796","283,5","318,51225","270,7354125","51,95451713",,,,,,,,
,10013,Hotbed For Flyingbear Ghost 6/ 230x257mm Double Sides PEI Plate Magnetic Base Coated Spring Steel Sheet 3D Printer Part,,"17,1","718,2","897,75","1238,895","1146,2472","1005,48","1031,62248","1077,3","1210,34655","1216,002375","364,0421138",,,,,,,,
10,10014,3D Printer Accessories Extrusion Head Throat Nozzle Heat Pipe Heater Block Set for Creality CR-10/CR10S/Ender 3/Ender 5,,"4,04","169,68","212,1","292,698","270,80928","237,552","243,728352","254,52","285,95322","287,28945","86,0076105",,,,,,,,
3,10023,"CREALITY Sprite Extruder полностью металлический двойной 3,5: 1 Шестеренчатый подающий дизайн, детали для 3D-принтера, детали для детской модели S1, умный Pro",,"33,81","1420,02","1775,025","2449,5345","2266,35192","1988,028","2039,716728","2130,03","2393,088705",2340,"451,98",,,,,,,,
,10024, Bed Ultra-Flexible Removable Magnetic Removable Build Surface Hotbed Cover Print Platform Kit 335x335,,"9,16","384,72","480,9","663,642","614,01312","538,608","552,611808","577,08","648,34938","651,37905","195,0073545",,"500,90544","61,0858416","0,1219508449",,,,
,10025,"(дивитись 10035) 9x сборный экструдер, комплект горячего конца для 3D-принтера Creality Ender 3 V2/Ender 3 Pro",,"7,31","307,02","383,775","529,6095","490,00392","429,828","441,003528","460,53","517,405455","519,8232375","155,6226814",,,,,,,,
7,10027,Кулер для 3d принтера Cooling Fan for 3D Printer,,"1,57","65,94","82,425","113,7465","105,24024","92,316","94,716216","98,91","111,125385","111,6446625","33,42374963",,,,,,,,
1,10028,"3D-принтер Flying Bear, 1 шт./2 шт., обновленная головка принтера V5 Hotend с алюминиевым теплообрывом для Ghost 4/4s/5",,"7,7","323,4","404,25","557,865","516,1464","452,76","464,53176","417,35","545,00985","38,808","0,096",,,,,,,,
7,10029,прозрачный экструдер с двойным приводом для Ghost4s/5,,"12,75","535,5","669,375","923,7375","854,658","749,7","769,1922","803,25","902,451375","906,6684375","225,14562","726,4593","103,784184","0,14286304",,,,,
1,10030,"Набор нагревательных блоков Hotend для принтера 3 Pro, комплект нагревательных блоков Hotend для Elegoo нептун 3, нептун 3 Plus",,"12,16","510,72","638,4","880,992","815,10912","715,008","733,598208","766,08","860,69088","864,7128","258,874392",,,,,,,,
